feature,importance
ACTIVE_CREDIT_DAY_OVERDUE_MAX,0.0
ACTIVE_CREDIT_DAY_OVERDUE_MEAN,0.0
ACTIVE_AMT_CREDIT_MAX_OVERDUE_MEAN,1902.361370563507
ACTIVE_AMT_CREDIT_SUM_MAX,1585.542665719986
ACTIVE_AMT_CREDIT_SUM_MEAN,1094.4729630947113
ACTIVE_AMT_CREDIT_SUM_SUM,2768.796864748001
ACTIVE_AMT_CREDIT_SUM_DEBT_MAX,849.5353535711765
ACTIVE_AMT_CREDIT_SUM_DEBT_MEAN,1054.073618888855
ACTIVE_AMT_CREDIT_SUM_DEBT_SUM,901.6403827667236
ACTIVE_AMT_CREDIT_SUM_OVERDUE_MEAN,246.12969970703125
ACTIVE_AMT_CREDIT_SUM_LIMIT_MEAN,504.1623282432556
ACTIVE_AMT_CREDIT_SUM_LIMIT_SUM,407.06329107284546
ACTIVE_AMT_ANNUITY_MAX,406.34925961494446
ACTIVE_AMT_ANNUITY_MEAN,430.4088897705078
ACTIVE_CNT_CREDIT_PROLONG_SUM,0.0
ACTIVE_MONTHS_BALANCE_MIN_MIN,294.08261132240295
ACTIVE_MONTHS_BALANCE_MAX_MAX,129.28985917568207
ACTIVE_MONTHS_BALANCE_SIZE_MEAN,412.34572172164917
ACTIVE_MONTHS_BALANCE_SIZE_SUM,302.67936074733734
CLOSED_DAYS_CREDIT_MIN,338.2241311073303
CLOSED_DAYS_CREDIT_MAX,693.8205263614655
CLOSED_DAYS_CREDIT_MEAN,220.90140914916992
CLOSED_DAYS_CREDIT_VAR,504.1037378311157
CLOSED_DAYS_CREDIT_ENDDATE_MIN,236.97458744049072
CLOSED_DAYS_CREDIT_ENDDATE_MAX,98.60728931427002
CLOSED_DAYS_CREDIT_ENDDATE_MEAN,289.07111072540283
CLOSED_DAYS_CREDIT_UPDATE_MEAN,923.4897376298904
CLOSED_CREDIT_DAY_OVERDUE_MAX,0.0
CLOSED_CREDIT_DAY_OVERDUE_MEAN,0.0
CLOSED_AMT_CREDIT_MAX_OVERDUE_MEAN,88.62216019630432
CLOSED_AMT_CREDIT_SUM_MAX,193.77889108657837
CLOSED_AMT_CREDIT_SUM_MEAN,312.65510654449463
CLOSED_AMT_CREDIT_SUM_SUM,353.42014932632446
CLOSED_AMT_CREDIT_SUM_DEBT_MAX,0.0
CLOSED_AMT_CREDIT_SUM_DEBT_MEAN,0.0
CLOSED_AMT_CREDIT_SUM_DEBT_SUM,0.0
CLOSED_AMT_CREDIT_SUM_OVERDUE_MEAN,0.0
CLOSED_AMT_CREDIT_SUM_LIMIT_MEAN,0.0
CLOSED_AMT_CREDIT_SUM_LIMIT_SUM,0.0
CLOSED_AMT_ANNUITY_MAX,121.44783973693848
CLOSED_AMT_ANNUITY_MEAN,124.79838991165161
CLOSED_CNT_CREDIT_PROLONG_SUM,0.0
CLOSED_MONTHS_BALANCE_MIN_MIN,78.27728915214539
CLOSED_MONTHS_BALANCE_MAX_MAX,4.634250164031982
CLOSED_MONTHS_BALANCE_SIZE_MEAN,144.41571927070618
CLOSED_MONTHS_BALANCE_SIZE_SUM,253.04465889930725
PREV_AMT_ANNUITY_MIN,1361.636948108673
PREV_AMT_ANNUITY_MAX,936.2546768188477
PREV_AMT_ANNUITY_MEAN,2061.5049619674683
PREV_AMT_APPLICATION_MIN,410.36059284210205
PREV_AMT_APPLICATION_MAX,403.7522511482239
PREV_AMT_APPLICATION_MEAN,816.052670955658
PREV_AMT_CREDIT_MIN,589.1112794876099
PREV_AMT_CREDIT_MAX,1255.4485111236572
PREV_AMT_CREDIT_MEAN,727.4726295471191
PREV_APP_CREDIT_PERC_MIN,1841.0821056365967
PREV_APP_CREDIT_PERC_MAX,1324.5872151851654
PREV_APP_CREDIT_PERC_MEAN,3272.79443359375
PREV_APP_CREDIT_PERC_VAR,2173.983653306961
PREV_AMT_DOWN_PAYMENT_MIN,119.00412321090698
PREV_AMT_DOWN_PAYMENT_MAX,1821.0803780555725
PREV_AMT_DOWN_PAYMENT_MEAN,1257.044228553772
PREV_AMT_GOODS_PRICE_MIN,480.1444926261902
PREV_AMT_GOODS_PRICE_MAX,487.73319005966187
PREV_AMT_GOODS_PRICE_MEAN,811.3894019126892
PREV_HOUR_APPR_PROCESS_START_MIN,540.0311300754547
PREV_HOUR_APPR_PROCESS_START_MAX,1164.3688290119171
